Frame,Eye State,Pupil Position,Driving Status,Head Rotation,Head Front Tilt,Head Side Tilt
0,Open,Center,Focus,Center,Straight Front Ahead,Straight
1,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
2,Open,Center,Focus,45Degree Left,Straight Front Ahead,Straight
3,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
4,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
5,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
6,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
7,Open,Center,Focus,45Degree Left,Straight Front Ahead,Head Top Left & Neck Right
8,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
9,Open,Center,Focus,Center,Straight Front Ahead,Straight
10,Open,Center,Focus,Center,Straight Front Ahead,Straight
11,Open,Center,Focus,Center,Straight Front Ahead,Straight
12,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
13,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
14,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
15,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
16,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
17,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
18,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
19,Open,Center,Focus,Center,Straight Front Ahead,Straight
20,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
21,Open,Center,Focus,Center,Straight Front Ahead,Straight
22,Open,Center,Focus,Center,Straight Front Ahead,Straight
23,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
24,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
25,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
26,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
27,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
28,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
29,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
30,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
31,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
32,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
33,Open,Center,Focus,Center,Straight Front Ahead,Straight
34,Open,Center,Focus,Center,Straight Front Ahead,Straight
35,Open,Center,Focus,Center,Straight Front Ahead,Straight
36,Open,Center,Focus,Center,Straight Front Ahead,Straight
37,Open,Center,Focus,Center,Straight Front Ahead,Straight
38,Open,Center,Focus,Center,Straight Front Ahead,Straight
39,Open,Center,Focus,Center,Straight Front Ahead,Straight
40,Open,Center,Focus,Center,Straight Front Ahead,Straight
41,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
42,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
43,Open,Center,Focus,Center,Straight Front Ahead,Straight
44,Open,Center,Focus,Center,Straight Front Ahead,Straight
45,Open,Center,Focus,Center,Straight Front Ahead,Straight
46,Open,Center,Focus,Center,Straight Front Ahead,Straight
47,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
48,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
49,Open,Center,Focus,Center,Straight Front Ahead,Straight
50,Open,Center,Focus,Center,Straight Front Ahead,Straight
51,Open,Center,Focus,Center,Straight Front Ahead,Straight
52,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
53,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
54,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
55,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
56,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
57,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
58,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
59,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
60,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
61,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
62,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
63,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
64,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
65,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
66,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
67,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
68,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
69,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
70,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
71,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
72,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
73,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
74,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
75,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
76,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
77,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
78,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
79,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
80,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
81,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
82,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
83,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
84,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
85,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
86,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
87,Open,Center,Focus,Center,Straight Front Ahead,Straight
88,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
89,Open,Center,Focus,Center,Straight Front Ahead,Straight
90,Open,Center,Focus,Center,Straight Front Ahead,Straight
91,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
92,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
93,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
94,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
95,Open,Center,Focus,Center,Straight Front Ahead,Straight
96,Open,Center,Focus,Center,Straight Front Ahead,Straight
97,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
98,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
99,Open,Center,Focus,Center,Straight Front Ahead,Straight
100,Open,Center,Focus,Center,Straight Front Ahead,Straight
101,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
102,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
103,Open,Center,Focus,Center,Straight Front Ahead,Straight
104,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
105,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
106,Open,Center,Focus,Center,Straight Front Ahead,Straight
107,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
108,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
109,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
110,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
111,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
112,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
113,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
114,Open,Center,Focus,Center,Straight Front Ahead,Straight
115,Open,Center,Focus,Center,Straight Front Ahead,Straight
116,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
117,Open,Center,Focus,Center,Straight Front Ahead,Straight
118,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
119,Open,Center,Focus,Center,Straight Front Ahead,Straight
120,Open,Center,Focus,Center,Straight Front Ahead,Straight
121,Open,Center,Focus,Center,Straight Front Ahead,Straight
122,Open,Center,Focus,Center,Straight Front Ahead,Straight
123,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
124,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
125,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
126,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
127,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
128,Open,Center,Focus,Center,Straight Front Ahead,Straight
129,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
130,Open,Center,Focus,Center,Straight Front Ahead,Straight
131,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
132,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
133,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
134,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
135,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
136,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
137,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
138,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
139,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
140,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
141,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
142,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
143,Closed,Center,Distracted,Center,Straight Front Ahead,Head Top Left & Neck Right
144,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
145,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
146,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
147,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
148,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
149,Open,Center,Focus,Center,Straight Front Ahead,Straight
150,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
151,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
152,Open,Center,Focus,Center,Straight Front Ahead,Straight
153,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
154,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
155,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
156,Open,Center,Focus,Center,Straight Front Ahead,Straight
157,Open,Center,Focus,Center,Straight Front Ahead,Straight
158,Open,Center,Focus,Center,Straight Front Ahead,Straight
159,Open,Center,Focus,Center,Straight Front Ahead,Straight
160,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
161,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
162,Open,Center,Focus,Center,Straight Front Ahead,Straight
163,Open,Center,Focus,Center,Straight Front Ahead,Straight
164,Open,Center,Focus,Center,Straight Front Ahead,Straight
165,Open,Center,Focus,Center,Straight Front Ahead,Straight
166,Open,Center,Focus,Center,Straight Front Ahead,Straight
167,Open,Center,Focus,Center,Straight Front Ahead,Straight
168,Open,Center,Focus,Center,Straight Front Ahead,Straight
169,Open,Center,Focus,Center,Straight Front Ahead,Straight
170,Open,Center,Focus,Center,Straight Front Ahead,Straight
171,Open,Center,Focus,Center,Straight Front Ahead,Straight
172,Open,Center,Focus,Center,Straight Front Ahead,Straight
173,Open,Center,Focus,Center,Straight Front Ahead,Straight
174,Open,Center,Focus,Center,Straight Front Ahead,Straight
175,Open,Center,Focus,Center,Straight Front Ahead,Straight
176,Open,Center,Focus,Center,Straight Front Ahead,Straight
177,Open,Center,Focus,Center,Straight Front Ahead,Straight
178,Open,Center,Focus,Center,Straight Front Ahead,Straight
179,Open,Center,Focus,Center,Straight Front Ahead,Straight
180,Open,Center,Focus,Center,Straight Front Ahead,Straight
181,Open,Center,Focus,Center,Straight Front Ahead,Straight
182,Open,Center,Focus,Center,Straight Front Ahead,Straight
183,Open,Center,Focus,Center,Straight Front Ahead,Straight
184,Open,Center,Focus,Center,Straight Front Ahead,Straight
185,Open,Center,Focus,Center,Straight Front Ahead,Straight
186,Open,Center,Focus,Center,Straight Front Ahead,Straight
187,Open,Center,Focus,Center,Straight Front Ahead,Straight
188,Open,Center,Focus,Center,Straight Front Ahead,Straight
189,Open,Center,Focus,Center,Straight Front Ahead,Straight
190,Open,Center,Focus,Center,Straight Front Ahead,Straight
191,Open,Center,Focus,Center,Straight Front Ahead,Straight
192,Open,Center,Focus,Center,Straight Front Ahead,Straight
193,Open,Center,Focus,Center,Straight Front Ahead,Straight
194,Open,Center,Focus,Center,Straight Front Ahead,Straight
195,Open,Center,Focus,Center,Straight Front Ahead,Straight
196,Open,Center,Focus,Center,Straight Front Ahead,Straight
197,Open,Center,Focus,Center,Straight Front Ahead,Straight
198,Open,Center,Focus,Center,Straight Front Ahead,Straight
199,Open,Center,Focus,Center,Straight Front Ahead,Straight
200,Open,Center,Focus,Center,Straight Front Ahead,Straight
201,Open,Center,Focus,Center,Straight Front Ahead,Straight
202,Open,Center,Focus,Center,Straight Front Ahead,Straight
203,Open,Center,Focus,Center,Straight Front Ahead,Straight
204,Open,Center,Focus,Center,Straight Front Ahead,Straight
205,Open,Center,Focus,Center,Straight Front Ahead,Straight
206,Open,Center,Focus,Center,Straight Front Ahead,Straight
207,Open,Center,Focus,Center,Straight Front Ahead,Straight
208,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
209,Open,Center,Focus,Center,Straight Front Ahead,Straight
210,Open,Center,Focus,Center,Straight Front Ahead,Straight
211,Open,Center,Focus,Center,Straight Front Ahead,Straight
212,Open,Center,Focus,Center,Straight Front Ahead,Straight
213,Open,Center,Focus,Center,Straight Front Ahead,Straight
214,Open,Center,Focus,Center,Straight Front Ahead,Straight
215,Open,Center,Focus,Center,Straight Front Ahead,Straight
216,Open,Center,Focus,Center,Straight Front Ahead,Straight
217,Open,Center,Focus,Center,Straight Front Ahead,Straight
218,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
219,Open,Center,Focus,Center,Straight Front Ahead,Straight
220,Open,Center,Focus,Center,Straight Front Ahead,Straight
221,Open,Center,Focus,Center,Straight Front Ahead,Straight
222,Open,Center,Focus,Center,Straight Front Ahead,Straight
223,Open,Center,Focus,Center,Straight Front Ahead,Straight
224,Open,Center,Focus,Center,Straight Front Ahead,Straight
225,Open,Center,Focus,Center,Straight Front Ahead,Straight
226,Open,Center,Focus,Center,Straight Front Ahead,Straight
227,Open,Center,Focus,Center,Straight Front Ahead,Straight
228,Open,Center,Focus,Center,Straight Front Ahead,Straight
229,Open,Center,Focus,Center,Straight Front Ahead,Straight
230,Open,Center,Focus,Center,Straight Front Ahead,Straight
231,Open,Center,Focus,Center,Straight Front Ahead,Straight
232,Open,Center,Focus,Center,Straight Front Ahead,Straight
233,Open,Center,Focus,Center,Straight Front Ahead,Straight
234,Open,Center,Focus,Center,Straight Front Ahead,Straight
235,Open,Center,Focus,Center,Straight Front Ahead,Straight
236,Open,Center,Focus,Center,Straight Front Ahead,Straight
237,Open,Center,Focus,Center,Straight Front Ahead,Straight
238,Open,Center,Focus,Center,Straight Front Ahead,Straight
239,Open,Center,Focus,Center,Straight Front Ahead,Straight
240,Open,Center,Focus,Center,Straight Front Ahead,Straight
241,Open,Center,Focus,Center,Straight Front Ahead,Straight
242,Open,Center,Focus,Center,Straight Front Ahead,Straight
243,Open,Center,Focus,Center,Straight Front Ahead,Straight
244,Open,Center,Focus,Center,Straight Front Ahead,Straight
245,Open,Center,Focus,Center,Straight Front Ahead,Straight
246,Open,Center,Focus,Center,Straight Front Ahead,Straight
247,Open,Center,Focus,Center,Straight Front Ahead,Straight
248,Open,Center,Focus,Center,Straight Front Ahead,Straight
249,Open,Center,Focus,Center,Straight Front Ahead,Straight
250,Open,Center,Focus,Center,Straight Front Ahead,Straight
251,Open,Center,Focus,Center,Straight Front Ahead,Straight
252,Open,Center,Focus,Center,Straight Front Ahead,Straight
253,Open,Center,Focus,Center,Straight Front Ahead,Straight
254,Open,Center,Focus,Center,Straight Front Ahead,Straight
255,Open,Center,Focus,Center,Straight Front Ahead,Straight
256,Open,Center,Focus,Center,Straight Front Ahead,Straight
257,Open,Center,Focus,Center,Straight Front Ahead,Straight
258,Open,Center,Focus,Center,Straight Front Ahead,Straight
259,Open,Center,Focus,Center,Straight Front Ahead,Straight
260,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
261,Open,Center,Focus,Center,Straight Front Ahead,Straight
262,Open,Center,Focus,Center,Straight Front Ahead,Straight
263,Open,Center,Focus,Center,Straight Front Ahead,Straight
264,Open,Center,Focus,Center,Straight Front Ahead,Straight
265,Open,Center,Focus,Center,Straight Front Ahead,Straight
266,Open,Center,Focus,Center,Straight Front Ahead,Straight
267,Open,Center,Focus,Center,Straight Front Ahead,Straight
268,Open,Center,Focus,Center,Straight Front Ahead,Straight
269,Open,Center,Focus,Center,Straight Front Ahead,Straight
270,Open,Center,Focus,Center,Straight Front Ahead,Straight
271,Open,Center,Focus,Center,Straight Front Ahead,Straight
272,Open,Center,Focus,Center,Straight Front Ahead,Straight
273,Open,Center,Focus,Center,Straight Front Ahead,Straight
274,Open,Center,Focus,Center,Straight Front Ahead,Straight
275,Open,Center,Focus,Center,Straight Front Ahead,Straight
276,Open,Center,Focus,Center,Straight Front Ahead,Straight
277,Open,Center,Focus,Center,Straight Front Ahead,Straight
278,Open,Center,Focus,Center,Straight Front Ahead,Straight
279,Open,Center,Focus,Center,Straight Front Ahead,Straight
280,Open,Center,Focus,Center,Straight Front Ahead,Straight
281,Open,Center,Focus,Center,Straight Front Ahead,Straight
282,Open,Center,Focus,Center,Straight Front Ahead,Straight
283,Open,Center,Focus,Center,Straight Front Ahead,Straight
284,Open,Center,Focus,Center,Straight Front Ahead,Straight
285,Open,Center,Focus,Center,Straight Front Ahead,Straight
286,Open,Center,Focus,Center,Straight Front Ahead,Straight
287,Open,Center,Focus,Center,Straight Front Ahead,Straight
288,Open,Center,Focus,Center,Straight Front Ahead,Straight
289,Open,Center,Focus,Center,Straight Front Ahead,Straight
290,Open,Center,Focus,Center,Straight Front Ahead,Straight
291,Open,Center,Focus,Center,Straight Front Ahead,Straight
292,Open,Center,Focus,Center,Straight Front Ahead,Straight
293,Open,Center,Focus,Center,Straight Front Ahead,Straight
294,Open,Center,Focus,Center,Straight Front Ahead,Straight
295,Open,Center,Focus,Center,Straight Front Ahead,Straight
296,Open,Center,Focus,Center,Straight Front Ahead,Straight
297,Open,Center,Focus,Center,Straight Front Ahead,Straight
298,Open,Center,Focus,Center,Straight Front Ahead,Straight
299,Open,Center,Focus,Center,Straight Front Ahead,Straight
300,Open,Center,Focus,Center,Straight Front Ahead,Straight
301,Open,Center,Focus,Center,Straight Front Ahead,Straight
302,Open,Center,Focus,Center,Straight Front Ahead,Straight
303,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
304,Open,Center,Focus,Center,Straight Front Ahead,Straight
305,Open,Center,Focus,Center,Straight Front Ahead,Straight
306,Open,Center,Focus,Center,Straight Front Ahead,Straight
307,Open,Center,Focus,Center,Straight Front Ahead,Straight
308,Open,Center,Focus,Center,Straight Front Ahead,Straight
309,Open,Center,Focus,Center,Straight Front Ahead,Straight
310,Open,Center,Focus,Center,Straight Front Ahead,Straight
311,Open,Center,Focus,Center,Straight Front Ahead,Straight
312,Open,Center,Focus,Center,Straight Front Ahead,Straight
313,Open,Center,Focus,Center,Straight Front Ahead,Straight
314,Open,Center,Focus,Center,Straight Front Ahead,Straight
315,Open,Center,Focus,Center,Straight Front Ahead,Straight
316,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
317,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
318,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
319,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
320,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
321,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
322,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
323,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
324,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
325,Closed,Center,Distracted,Center,Straight Front Ahead,Head Top Right & Neck Left
326,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
327,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
328,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
329,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
330,Closed,Center,Distracted,Center,Straight Front Ahead,Head Top Right & Neck Left
331,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
332,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
333,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
334,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
335,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
336,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
337,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
338,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
339,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
340,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
341,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
342,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
343,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
344,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
345,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
346,Closed,Center,Distracted,Center,Straight Front Ahead,Head Top Left & Neck Right
347,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
348,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
349,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
350,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
351,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
352,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
353,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
354,Closed,Center,Distracted,Center,Straight Front Ahead,Head Top Left & Neck Right
355,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
356,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
357,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
358,Open,Center,Focus,Center,Straight Front Ahead,Straight
359,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
360,Open,Center,Focus,Center,Straight Front Ahead,Straight
361,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
362,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
363,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
364,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
365,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
366,Open,Center,Focus,Center,Straight Front Ahead,Straight
367,Open,Center,Focus,Center,Straight Front Ahead,Straight
368,Open,Center,Focus,Center,Straight Front Ahead,Head Top Left & Neck Right
369,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
370,Open,Center,Focus,Center,Straight Front Ahead,Straight
371,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
372,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
373,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
374,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
375,Closed,Center,Distracted,Center,Extreme Back Tilt,Head Top Right & Neck Left
376,Closed,Center,Distracted,Center,Extreme Back Tilt,Head Top Right & Neck Left
377,Closed,Center,Distracted,Center,Extreme Back Tilt,Head Top Left & Neck Right
378,Closed,Center,Distracted,Center,Extreme Back Tilt,Head Top Left & Neck Right
379,Closed,Center,Distracted,Center,Extreme Back Tilt,Head Top Left & Neck Right
380,Closed,Center,Distracted,Center,Extreme Back Tilt,Head Top Left & Neck Right
381,Closed,Center,Distracted,Center,Extreme Back Tilt,Head Top Left & Neck Right
382,Closed,Center,Distracted,Center,Extreme Back Tilt,Head Top Left & Neck Right
383,Open,Center,Focus,Center,Extreme Back Tilt,Head Top Left & Neck Right
384,Open,Center,Focus,Center,Extreme Back Tilt,Head Top Left & Neck Right
385,Open,Center,Focus,Center,Back Tilt,Head Top Left & Neck Right
386,Open,Center,Focus,Center,Back Tilt,Head Top Right & Neck Left
387,Open,Center,Focus,Center,Back Tilt,Head Top Right & Neck Left
388,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
389,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
390,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
391,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
392,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
393,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
394,Open,Center,Focus,Center,Straight Front Ahead,Head Top Right & Neck Left
395,Open,Center,Focus,Center,Straight Front Ahead,Straight
396,Open,Center,Focus,Center,Straight Front Ahead,Straight
397,Open,Center,Focus,Center,Straight Front Ahead,Straight
398,Open,Center,Focus,Center,Straight Front Ahead,Straight
399,Open,Center,Focus,Center,Straight Front Ahead,Straight
400,Open,Center,Focus,Center,Straight Front Ahead,Straight
401,Open,Center,Focus,Center,Straight Front Ahead,Straight
402,Open,Center,Focus,Center,Straight Front Ahead,Straight
403,Open,Center,Focus,Center,Straight Front Ahead,Straight
404,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
405,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
406,Open,Center,Focus,Center,Straight Front Ahead,Straight
407,Open,Center,Focus,Center,Straight Front Ahead,Straight
408,Open,Center,Focus,Center,Straight Front Ahead,Straight
409,Open,Center,Focus,Center,Straight Front Ahead,Straight
410,Open,Center,Focus,Center,Straight Front Ahead,Straight
411,Open,Center,Focus,Center,Straight Front Ahead,Straight
412,Open,Center,Focus,Center,Straight Front Ahead,Straight
413,Open,Center,Focus,Center,Straight Front Ahead,Straight
414,Open,Center,Focus,Center,Straight Front Ahead,Straight
415,Open,Center,Focus,Center,Straight Front Ahead,Straight
416,Open,Center,Focus,Center,Straight Front Ahead,Straight
417,Open,Center,Focus,Center,Straight Front Ahead,Straight
418,Open,Center,Focus,Center,Straight Front Ahead,Straight
419,Open,Center,Focus,Center,Straight Front Ahead,Straight
420,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
421,Open,Center,Focus,Center,Straight Front Ahead,Straight
422,Open,Center,Focus,Center,Straight Front Ahead,Straight
